ref	nazva	rik	arkhiv	fond	opys	sprava	url
dako-r5634-1-564	Алфавітна книга реєстрації актів про смерть Макарівського району	1920-1933	ДАКО	Р-5634	1	564	https://commons.wikimedia.org/wiki/File:%D0%94%D0%90%D0%9A%D0%9E_P-5634-1-564._1920%E2%80%931933._%D0%90%D0%BB%D1%84%D0%B0%D0%B2%D1%96%D1%82%D0%BD%D0%B0_%D0%BA%D0%BD%D0%B8%D0%B3%D0%B0._%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9._%D0%A1%D0%BC%D0%B5%D1%80%D1%82%D1%8C.pdf
dako-r5634-1-566	Алфавітна книга реєстрації актів про розірвання шлюбу Макарівського району	1921, 1924-1928, 1932	ДАКО	Р-5634	1	566	https://commons.wikimedia.org/wiki/File:%D0%94%D0%90%D0%9A%D0%9E_P-5634-1-566._1920%E2%80%931932._%D0%90%D0%BB%D1%84%D0%B0%D0%B2%D1%96%D1%82%D0%BD%D0%B0_%D0%BA%D0%BD%D0%B8%D0%B3%D0%B0._%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9._%D0%A0%D0%BE%D0%B7%D1%96%D1%80%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F_%D1%88%D0%BB%D1%8E%D0%B1%D1%83.pdf
dako-r5634-1-571	Книга реєстрації актів про народження і шлюб Макарівського району	1923-1924	ДАКО	Р-5634	1	571	https://uk.wikisource.org/wiki/Архів:ДАКО/Р-5634/1/571
dako-r5634-1-572	Книга реєстрації актів про смерть, Макарівський район	1923-1925	ДАКО	Р-5634	1	572	
dako-r5634-1-576	Книга реєстрації актів про народження Макарівського району Київської області за 1924 рік	1924	ДАКО	Р-5634	1	576	
dako-r5634-1-577	Книга реєстрації актів про народження Макарівського району	1924	ДАКО	Р-5634	1	577	
dako-r5634-1-578	Книга реєстрації актів про смерть Макарівського району	1924	ДАКО	Р-5634	1	578	https://commons.wikimedia.org/wiki/File:ДАКО_P-5634-1-578._1924._Акти._Макарівський._Макарів,_Кодра,_Андріївка,_Борівка,_Вишеград,_В.Карашин,_Гавронщина_та_інші._Смерть.pdf
dako-r5634-1-580	Книга реєстрації актів про розірвання шлюбу Макарівського району	1924-1932	ДАКО	Р-5634	1	580	
dako-r5634-1-593	Книга реєстрації актів про народження за 1926 рік: Копилів, Королівка, Липівка, Личанка	1926	ДАКО	Р-5634	1	593	
dako-r5634-1-599	Книга реєстрації актів про народження Макарівського району	1926	ДАКО	Р-5634	1	599	https://uk.wikisource.org/wiki/Архів:ДАКО/Р-5634/1/599
dako-r5634-1-600	Книга реєстрації актів про смерть, Макарівський район	1926-1927	ДАКО	Р-5634	1	600	
dako-r5634-1-601	Книга реєстрації актів про шлюб Макарівського району	1926	ДАКО	Р-5634	1	601	https://uk.wikisource.org/wiki/Архів:ДАКО/Р-5634/1/601
dako-r5634-1-607	Книга реєстрації актів про народження Марʼянівської сільради Бишівського р-ну, 1927 рік. Грузьке, Леонівка, Лишня, Марʼянівка, Мостище, Новосілки, Пашківка	1927	ДАКО	Р-5634	1	607	https://uk.wikisource.org/wiki/Архів:ДАКО/Р-5634
dako-r5634-1-611	Книга реєстрації актів про шлюб Макарівського району за 1927 рік	1927	ДАКО	Р-5634	1	611	https://uk.wikisource.org/wiki/Архів:ДАКО/Р-5634/1/611
dako-r5634-1-613	Книга реєстрації актів про народження Макарівського району	1927-1928	ДАКО	Р-5634	1	613	https://uk.wikisource.org/wiki/Архів:ДАКО/Р-5634/1/613
dako-r5634-1-621	Книга реєстрації актів про смерть, 1928 рік (Новосілки Макарівського р-ну - 42 акти)	1928	ДАКО	Р-5634	1	621	https://opisi.dako.gov.ua/zags/deaths
dako-r5634-1-623	Книга реєстрації актів про шлюб Марʼянівської/Козичанської сільради Бишівського р-ну, 1928 рік. Бишів, Весела Слобода, Вільне, Вітрівка, Горобіївка, Грузьке та інші	1928	ДАКО	Р-5634	1	623	https://uk.wikisource.org/wiki/Архів:ДАКО/Р-5634
dako-r5634-1-628	Книга реєстрації актів про народження, Макарівський район	1930-1931	ДАКО	Р-5634	1	628	
dako-r5634-1-636	Книга реєстрації актів про народження, Макарівський район	1932	ДАКО	Р-5634	1	636	
dako-r5634-1-638	Акти про смерть по Макарівському району за 1932 рік	1932	ДАКО	Р-5634	1	638	
dako-r5634-1-640	ДАКО, ф. Р-5634, оп. 1, спр. 640. Книга реєстрації актів про народження Макарівського району, 1933	1933					https://uk.wikisource.org/wiki/Архів:ДАКО/Р-5634
dako-r5634-1-640a	Книга реєстрації актів про народження, Макарівський район, 1933 рік	1933	ДАКО	Р-5634	1	640а	https://uk.wikisource.org/wiki/Архів:ДАКО/Р-5634
dako-r5634-1-641	ДАКО, ф. Р-5634, оп. 1, спр. 641. Книга реєстрації актів про смерть Макарівського району, 1933	1933					https://uk.wikisource.org/wiki/Архів:ДАКО/Р-5634/1/641
dako-r5634-kozychanka-akty	Книги реєстрації актів громадянського стану, с. Козичанка Макарівського р-ну	1924-1948	ДАКО	Р-5634	1	576, 598, 616, 2618, 2627, 3231, 3237, 3604, 3606, 3982, 4000, 4004, 4383, 4391, 4395, 4767, 4771, 4774	
dako-r5634-novosilky-narodzhennia	Книги реєстрації актів про народження, 1920-1928 (Новосілки Макарівського р-ну - 203 акти у пʼятьох справах)	1920-1928	ДАКО	Р-5634	1	562, 568, 576, 607, 617	https://opisi.dako.gov.ua/zags/birthday
dako-r880-12-1357	Рішення виконкому Київської обласної ради депутатів трудящих № 806 від 23 листопада 1970 року про затвердження списків памʼятників археології, історії та мистецтва Київської області	1970	ДАКО	Р-880	12	1357	https://commons.wikimedia.org/wiki/File:%D0%94%D0%90%D0%9A%D0%9E_%D0%A0-880-12-1357_(%D0%B0%D1%80%D0%BA._213-407)._1970_%D1%80%D1%96%D0%BA._%D0%92%D0%B8%D0%BA%D0%BE%D0%BD%D0%BA%D0%BE%D0%BC_%D0%9A%D0%B8%D1%97%D0%B2%D1%81%D1%8C%D0%BA%D0%BE%D1%97_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D1%97_%D1%80%D0%B0%D0%B4%D0%B8_%D0%B4%D0%B5%D0%BF%D1%83%D1%82%D0%B0%D1%82%D1%96%D0%B2_%D1%82%D1%80%D1%83%D0%B4%D1%8F%D1%89%D0%B8%D1%85._%D0%A0%D1%96%D1%88%D0%B5%D0%BD%D0%BD%D1%8F_%E2%84%96806.pdf
dako-r978	Маковищенський сільський виконавчий комітет Ради робітничих, селянських і червоноармійських депутатів, с. Маковище Макарівського району Київського округу	1926	ДАКО	Р-978			
davio-737-1-13	Метричні книги костелів усієї Київської губернії	1822-1823	ДАВіО	737	1	13	https://uk.wikisource.org/wiki/Архів:ДАВіО/737/1/13
decentralization-zavalivka	Завалівка - облікова картка населеного пункту, decentralization.ua						https://decentralization.ua/locality/31674
denysenko-2011	Денисенко Г. Г. Воєнна історія України в контексті дослідження і збереження культурної спадщини. Київ: Інститут історії України НАН України, 2011	2011					https://history.org.ua/LiberUA/978-966-02-5935-5/14.pdf
derzhstat-nasel-2013	Чисельність наявного населення України на 1 січня 2013 року: статистичний збірник. Київ: Державна служба статистики України, 2013	2013					https://ukrstat.gov.ua/druk/publicat/kat_u/2013/sb/06_13/sb_nnas_2013.zip
derzhstat-nasel-2020	Чисельність наявного населення України на 1 січня 2020 року: статистичний збірник. Київ: Державна служба статистики України, 2020	2020					https://ukrstat.gov.ua/druk/publicat/kat_u/2020/zb/05/zb_chuselnist%2020.pdf
derzhstat-nasel-2022	Чисельність наявного населення України на 1 січня 2022 року: статистичний збірник. Київ: Державна служба статистики України, 2022	2022					https://ukrstat.gov.ua/druk/publicat/kat_u/2022/zb/05/zb_Nas.pdf
dialektolohichni-studii-4	Іваннікова Л., Коваль-Фучило І., Шалак О. «„Дзєди“ і „Проводи русалок“ у с. Гавронщина Макарівського р-ну Київ. обл. (святкують чорнобильські переселенці із с. Річиця)» // Діалектологічні студії. 4. Львів: Інститут українознавства ім. І. Крипʼякевича	2004					
diktatura-truda	«Диктатура труда», щоденна робітнича газета, орган Сталінського окружкому КП(б)У, окрвиконкому й окрпрофбюро, Сталіно (нині Донецьк)	1924					https://libraria.ua/
dovidnyk-heroiv-1988	«Герои Советского Союза: краткий биографический словарь». Т. 2. М.: Воениздат	1988					
edr-fop	Єдиний державний реєстр юридичних осіб, фізичних осіб-підприємців та громадських формувань						https://data.gov.ua/dataset/a1799820-195b-4982-8141-6e84f58103e7
eiu-dymytrii-rostovskyi-mytsyk-2004	Енциклопедія історії України, т. 2. Стаття «Димитрій Ростовський», автор Ю.А. Мицик	2004					http://www.history.org.ua/?termin=Dmytrii_Rostovskyi
eiu-inventarni-pravyla	Голобуцький П. В. «Інвентарні правила 1847-1848» // Енциклопедія історії України. Т. 3. К.: Наукова думка	2005					http://history.org.ua/?termin=Inventarni_pravyla_1847_1848
esu	Енциклопедія Сучасної України						https://esu.com.ua/
esu-karpovych-2012	Опанасенко О. М. Карпович Іван Власович // Енциклопедія Сучасної України. Том 12. Київ, 2012	2012					https://esu.com.ua/article-10121
esu-lamakh-2016	Лисенко Л. О. Ламах Аліна Миколаївна // Енциклопедія Сучасної України. Том 16. Київ, 2016	2016					https://esu.com.ua/article-53111
esu-levchenko-kateryna	Нікітченко В. С. Левченко Катерина Семенівна // Енциклопедія Сучасної України. Т. 16	2016					https://esu.com.ua/article-53957
esu-makarivskyi-raion	Макарівський район // Енциклопедія Сучасної України	2026					https://esu.com.ua/article-60650
fs-dgs-5683309	FamilySearch, DGS 5683309: метрична книга Пресвятої Трійці с. Пашківка на 1915 рік, частина перша, про народжених	1915	ЦДІАК	127	1079		https://www.familysearch.org/ark:/61903/3:1:6X7C-4GW4
fs-filtration-1943-1991	Україна, Радянські записи фільтрації населення, 1943-1991 (FamilySearch, колекція 5000364)	1943-1991					https://www.familysearch.org/platform/records/collections/5000364
fs-index-1503045	FamilySearch, індекс дублікатів метричних книг Київської губернії (колекція 1503045)						https://www.familysearch.org/
fs-index-2290980	FamilySearch, індекс сповідних розписів Київської губернії (колекція 2290980)						https://www.familysearch.org/
fs-koha-1177678	FamilySearch, картка каталогу koha:1177678: Метрические книги, Рождество-Богородицкая церковь, Православная церковь. Черногородка (Васильков)						https://www.familysearch.org/
fs-koha-1387665	FamilySearch, каталожна картка koha:1387665						https://www.familysearch.org/search/catalog/1387665
fs-koha-1387731	FamilySearch, каталожна картка koha:1387731 «Метрические книги, Радомысль (уезд), 1841-1917»						https://www.familysearch.org/search/catalog/1387731
fs-koha-1461189	Метричні книги єврейського товариства містечка Бишів (FamilySearch, картка koha:1461189)	1854-1856	ЦДІАК	1164	1		https://www.familysearch.org/service/search/catalog/item/koha:1461189
fs-koha-1808480	FamilySearch, каталожна картка koha:1808480 «Исповедные ведомости, Радомысль (уезд), 1798-1914»						https://www.familysearch.org/search/catalog/1808480
fs-makariv-1854	FamilySearch, DGS 7810017: єврейські метричні книги м. Макарова, 1854	1854					https://www.familysearch.org/search/film/7810017
fs-olib-2728469	FamilySearch, каталожна картка olib:2728469						https://www.familysearch.org/search/catalog/2728469
fs-personas-yurov	FamilySearch, пошук персон за вузлом місця Юрова без обмеження колекцією (endpoint /service/search/hr/v2/personas)	2026					https://www.familysearch.org/
fs-places	FamilySearch, довідник місць (Places)						https://www.familysearch.org/research/places/
fs-tsurpalenko-index	FamilySearch, індекс за прізвищем «Цурпаленко» (парафія Пресвятої Трійці, с. Пашківка)						https://www.familysearch.org/
fundukley-1852	Фундуклей И. Статистическое описание Киевской губернии. Київ, 1852	1852					https://archive.org/details/statict1852
gazeta-112-1932	«За соціалістичні темпи» (Макарів), № 112 від 28 грудня 1932 року						https://commons.wikimedia.org/wiki/File:Mv-112-1932.pdf
gazeta-36-1932	«За соціалістичні темпи» (Макарів), № 36 (1184) від 29 квітня 1932 року						https://commons.wikimedia.org/wiki/File:Mv-36-1932.pdf
golos-1942	«Голос», окупаційна газета	1942					https://libraria.ua/issues/220/5223/?PageNumber=4&ArticleId=358052
gromada-makarivska	Макарівська громада - картка громади, gromada.info	2026					https://gromada.info/gromada/makarivska/
hlobus-1924	«Глобус», ілюстрований двотижневик, Київ, 1924, № 23 (2 жовтня)	1924					https://libraria.ua/issues/1235/99120/?PageNumber=11&ArticleId=3406725
hlobus-1932	«Глобус», ілюстрований двотижневик, Київ, 1932, № 1 (3 січня)	1932					https://libraria.ua/issues/1235/99057/
imis-kyivska-1971	Історія міст і сіл Української РСР. Київська область	1971					http://irbis-nbuv.gov.ua/ulib/item/UKR0001225
inmo-skopnenko	Інститут мовознавства ім. О. О. Потебні НАН України, сторінка Олександра Івановича Скопненка						https://inmo.org.ua/head/oiskopnenko.html
istoriia-kyieva-t2	«Історія Києва», том 2. Київ: Наукова думка						https://resource.history.org.ua/item/0000894
isuo-komarivka	ІСУО, картка «Комарівська гімназія Макарівської селищної ради Бучанського району Київської області»						https://ko.isuo.org/authorities/schools-list/id/757
isuo-lypivka	ІСУО, картка «Липівська гімназія Макарівської селищної ради Бучанського району Київської області»						https://ko.isuo.org/schools/view/id/21850
isuo-marianivka	Марʼянівська гімназія Макарівської селищної ради - картка в Інформаційній системі управління освітою						https://ko.isuo.org/schools/view/id/21855
isuo-motyzhyn	Мотижинський ліцей - картка закладу в ІСУО	2025					https://ko.isuo.org/schools/view/id/21856
isuo-plakhtianka	Плахтянська гімназія Макарівської селищної ради - картка в ІСУО						https://ko.isuo.org/schools/view/id/21868
isuo-zabuiannia	Забуянська гімназія Макарівської селищної ради - картка в ІСУО						https://ko.isuo.org/schools/view/id/21844
iwanowski-1873	Eustachy Iwanowski. «Rozmowy o polskiéj koronie». Краків, 1873	1873					https://archive.org/details/rozmowyopolskij00iwangoog
katalog-richok-1957	Каталог річок України. Київ, Видавництво АН УРСР, 1957	1957					https://archive.org/details/kataloh-richok-ukrainy-2
kev-1873-12	Кіевскія епархіальныя вѣдомости. 1873, № 12	1873					https://commons.wikimedia.org/wiki/Category:Kiyevskiye_yeparkhialnyye_vedomosti
khliborob	«Хлібороб», газета для остарбайтерів і біженців, Берлін	1943-1944					https://libraria.ua/
kmu-715-2020	Розпорядження Кабінету Міністрів України № 715-р від 12 червня 2020 року «Про визначення адміністративних центрів та затвердження територій територіальних громад Київської області»	2020					https://zakon.rada.gov.ua/laws/show/715-2020-%D1%80
knowbysight-marchuk	Справочник по истории Коммунистической партии и Советского Союза 1898-1991, картка «Марчук Иван Иванович»						http://www.knowbysight.info/MMM/03598.asp
knu-orgchem-levchenko	Левченко Катерина Семенівна // Видатні випускники, кафедра органічної хімії Київського національного університету імені Тараса Шевченка	2026					https://orgchem.knu.ua/ua/prominent_graduates/levchenko/
knyha-pamiati-kyivska-4	Книга Памʼяті України. Київська область. Т. 4: Іванківський, Кагарлицький, Києво-Святошинський, Макарівський райони. Київ: Молодь, 1995, 864 с.	1995					https://irbis-nbuv.gov.ua/cgi-bin/irbis_nbuv/cgiirbis_64.exe?C21COM=S&I21DBN=EC&P21DBN=EC&S21FMT=JwU_B&S21STN=1&S21REF=10&S21CNR=20&S21ALL=%28%3C.%3EI%3D%D0%92340025%24%3C.%3E%29
koden-1931	Український архів. Т. II: Коденська книга судових справ. Київ: ВУАН, 1931	1931					https://commons.wikimedia.org/wiki/File:Коденська_книга_судових_справ_(1931).djvu
kodyfikator-2021	Кодифікатор адміністративно-територіального устрою та територій територіальних громад, наказ Мінрегіону № 178 від 23 липня 2021 року						https://data.gov.ua/
komunist-1924	«Коммунист», орган ЦК і Харківського губкому КП(б)У, Харків	1924					https://libraria.ua/
korinnyi-2012	Адміністративно-територіальний поділ Київщини 1918-2010 роки: довідник / авт.-упоряд. М. М. Корінний. Біла Церква: Олександр Пшонківський, 2012, 302 с.	2012					https://irbis-nbuv.gov.ua/cgi-bin/irbis_nbuv/cgiirbis_64.exe?C21COM=S&I21DBN=EC&P21DBN=EC&S21FMT=JwU_B&S21STN=1&S21REF=10&S21CNR=20&S21ALL=%28%3C.%3EI%3D%D0%92%D0%90755679%24%3C.%3E%29
koval-2010	Коваль Р. М. Отаман Орлик. Київ: Стікс, 2010	2010					https://irbis-nbuv.gov.ua/ulib/item/UKR0001819
krypiakevych-1648-1654	Крипʼякевич І. Адміністративний поділ України 1648-1654 рр.						https://uk.wikisource.org/wiki/Історичні_джерела_та_їх_використання/2/Адміністративний_поділ_України_1648-1654_рр.
kuchera-1976	Кучера М. П. Давньоруські городища на Правобережжі Київщини // Дослідження з словʼяно-руської археології. Київ, 1976	1976					https://irbis-nbuv.gov.ua/cgi-bin/irbis_nbuv/cgiirbis_64.exe?C21COM=S&I21DBN=EC&P21DBN=EC&S21FMT=JwU_B&S21STN=1&S21REF=10&S21CNR=20&S21ALL=%28%3C.%3EI%3D%D0%92%D0%90286175%24%3C.%3E%29
kuchera-1987	Кучера М. П. Змиевы валы Среднего Поднепровья. Київ: Наукова думка, 1987	1987					https://figshare.com/articles/book/________/8113145
kucheryavyi-1975	Кучерявий В. Г. Історія села Комарівки. Рукописний альбом, 1975	1975					
kuza-1996	Куза А. В. Древнерусские городища X-XIII вв. Свод археологических памятников. Москва, 1996	1996					https://irbis-nbuv.gov.ua/cgi-bin/irbis_nbuv/cgiirbis_64.exe?C21COM=S&I21DBN=EC&P21DBN=EC&S21FMT=JwU_B&S21STN=1&S21REF=10&S21CNR=20&S21ALL=%28%3C.%3EI%3D%D0%A1%D0%9E26159%24%3C.%3E%29
kuzmenko-lisovenko-2013	Кузьменко-Лісовенко К. В., Василишина Т. В. Плахтянка - наш Поліський дивокрай. Історія. Людські долі. Київ, 2013	2013	НБУВ			ВС59154	
kyivlianyn	«Кіевлянинъ», щоденна газета, Київ	1864-1919					https://libraria.ua/
kyivska-pravda	«Київська правда», обласна газета Київщини						https://libraria.ua/
kyivskyi-proletarii	«Киевский пролетарий», щоденна газета, Київ	1925					https://libraria.ua/
leninska-zoria-1989	«Ленінська зоря», газета Макарівського району		Держархів друку Книжкової палати України				
leshchenko-1955	Лещенко М. Н. Селянський рух на Правобережній Україні в період революції 1905-1907 рр. К.: Вид-во АН УРСР, 1955. 232 с.	1955					https://resource.history.org.ua/item/0000153
libraria	LIBRARIA - цифровий архів україномовної преси						https://libraria.ua/
literaturna-hazeta	«Літературна газета», Київ	1927-1962					https://libraria.ua/
lypivka-rada-arhiv	Офіційний сайт Липівської сільської ради (орган ліквідовано, сайт лишився в архівному режимі)	2018					https://lypivka.rada.arhiv.org.ua/istorichna-dovidka-17-47-51-21-11-2018/
makariv-hromada-andriivka	Андріївський старостинський округ - сторінка Макарівської селищної громади	2022					https://new.makariv-rada.gov.ua/andriivskyj-starostynskyj-okruh/
makariv-hromada-kodra	Кодрянський старостинський округ - сторінка Макарівської селищної громади	2022					https://new.makariv-rada.gov.ua/kodrianskyj-starostynskyj-okruh/
makariv-hromada-komarivka	Комарівський старостинський округ - сторінка Макарівської селищної громади	2022					https://new.makariv-rada.gov.ua/komarivskyj-starostynskyj-okruh/
makariv-hromada-kopyliv	Копилівський старостинський округ, сайт Макарівської селищної ради						https://new.makariv-rada.gov.ua/kopylivskyj-starostynskyj-okruh/
makariv-hromada-korolivka	Королівський старостинський округ - сторінка Макарівської селищної громади	2022					https://new.makariv-rada.gov.ua/korolivskyj-starostynskyj-okruh/
makariv-hromada-lypivka	Макарівська селищна рада, сторінка «Липівський старостинський округ»	2022					https://new.makariv-rada.gov.ua/
makariv-hromada-motyzhyn	Мотижинський старостинський округ - сторінка Макарівської селищної громади	2022					https://new.makariv-rada.gov.ua/motyzhynskyj-starostynskyj-okruh/
makariv-hromada-nebelytsia	Небелицький старостинський округ - сторінка Макарівської селищної громади	2022					https://new.makariv-rada.gov.ua/nebelytskyj-starostynskyj-okruh/
makariv-hromada-velykyi-karashyn	Великокарашинський старостинський округ - сторінка Макарівської селищної громади	2022					https://new.makariv-rada.gov.ua/velykokarashynskyj-starostynskyj-okruh/
makariv-rada-2026	Макарівська селищна рада, «Памʼять, що живе у серцях: у Липівці вшанували полеглих захисників»	2026					https://new.makariv-rada.gov.ua/pam-iat-shcho-zhyve-u-sertsiakh-u-lypivtsi-vshanuvaly-polehlykh-zakhysnykiv/
makariv-rada-havronshchyna	Гавронщинський старостинський округ - сторінка Макарівської селищної громади	2022					https://new.makariv-rada.gov.ua/havronshchynskyj-starostynskyj-okruh/
makariv-rada-marianivka	Марʼянівський старостинський округ - сторінка Макарівської селищної ради						https://new.makariv-rada.gov.ua/mar-ianivskyj-starostynskyj-okruh/
makariv-rada-pashkivskyi-okruh	Пашківський старостинський округ - сторінка Макарівської селищної громади	2022					https://new.makariv-rada.gov.ua/pashkivskyj-starostynskyj-okruh/
makariv-rada-yurivskyi-okruh	Юрівський старостинський округ - сторінка Макарівської селищної громади						https://new.makariv-rada.gov.ua/
makariv-rada-zabuiannia	Забуянський старостинський округ - сайт Макарівської селищної ради						https://new.makariv-rada.gov.ua/zabuianskyj-starostynskyj-okruh/
